Individual	Location	Pasture	Parasitism	pop_para	pop_para_past
L88	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L89	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L90	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L91	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L92	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L93	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L94	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L95	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L96	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L97	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L98	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L99	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
L100	Lincoln	Ryegrass	parasitized	Lincoln_parasitized	Lincoln_parasitized_Ryegrass
I1	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I2	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I3	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I4	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I5	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I6	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I7	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I8	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
